Punto,mov1_escooter_00,mov1_escooter_01,mov1_escooter_02,mov1_escooter_03,mov1_escooter_04,mov1_escooter_05,mov1_escooter_06,mov1_escooter_07,mov1_escooter_08,mov1_escooter_09,mov1_escooter_10,mov1_escooter_11,mov1_escooter_12,mov1_escooter_13,mov1_escooter_14,mov1_escooter_15,mov1_escooter_16,mov1_escooter_17,mov2_escooter_00,mov2_escooter_01,mov2_escooter_02,mov2_escooter_03,mov2_escooter_04,mov2_escooter_05,mov2_escooter_06,mov2_escooter_07,mov2_escooter_08,mov2_escooter_09,mov2_escooter_10,mov2_escooter_11,mov2_escooter_12,mov2_escooter_13,mov2_escooter_14,mov2_escooter_15,mov2_escooter_16,mov2_escooter_17,mov1_bicycle_00,mov1_bicycle_01,mov1_bicycle_02,mov1_bicycle_03,mov1_bicycle_04,mov1_bicycle_05,mov1_bicycle_06,mov1_bicycle_07,mov1_bicycle_08,mov1_bicycle_09,mov1_bicycle_10,mov1_bicycle_11,mov1_bicycle_12,mov1_bicycle_13,mov1_bicycle_14,mov1_bicycle_15,mov1_bicycle_16,mov1_bicycle_17,mov2_bicycle_00,mov2_bicycle_01,mov2_bicycle_02,mov2_bicycle_03,mov2_bicycle_04,mov2_bicycle_05,mov2_bicycle_06,mov2_bicycle_07,mov2_bicycle_08,mov2_bicycle_09,mov2_bicycle_10,mov2_bicycle_11,mov2_bicycle_12,mov2_bicycle_13,mov2_bicycle_14,mov2_bicycle_15,mov2_bicycle_16,mov2_bicycle_17,mov1_all_classes_00,mov1_all_classes_01,mov1_all_classes_02,mov1_all_classes_03,mov1_all_classes_04,mov1_all_classes_05,mov1_all_classes_06,mov1_all_classes_07,mov1_all_classes_08,mov1_all_classes_09,mov1_all_classes_10,mov1_all_classes_11,mov1_all_classes_12,mov1_all_classes_13,mov1_all_classes_14,mov1_all_classes_15,mov1_all_classes_16,mov1_all_classes_17,mov2_all_classes_00,mov2_all_classes_01,mov2_all_classes_02,mov2_all_classes_03,mov2_all_classes_04,mov2_all_classes_05,mov2_all_classes_06,mov2_all_classes_07,mov2_all_classes_08,mov2_all_classes_09,mov2_all_classes_10,mov2_all_classes_11,mov2_all_classes_12,mov2_all_classes_13,mov2_all_classes_14,mov2_all_classes_15,mov2_all_classes_16,mov2_all_classes_17
3,0,0,0,0,1,0,1,1,0,2,3,1,1,3,2,1,2,0,0,0,0,0,0,0,1,0,1,3,3,2,3,2,2,4,5,0,1,2,1,4,6,1,14,19,20,21,10,25,15,30,38,30,44,37,1,4,1,4,9,8,11,12,13,22,29,31,35,29,26,28,31,27,1,2,1,4,7,1,15,20,20,23,13,26,16,33,40,31,46,37,1,4,1,4,9,8,12,12,14,25,32,33,38,31,28,32,36,27
23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,2,3,2,6,8,13,7,0,0,0,0,0,0,1,1,4,9,11,9,11,18,27,22,27,18,2,0,2,4,2,3,16,22,22,34,25,44,47,54,62,62,62,65,0,0,0,0,0,0,1,1,4,9,12,9,11,19,27,22,29,19,2,0,2,4,2,3,16,22,23,34,26,46,50,56,68,70,75,72
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,8,20,24,15,16,31,31,28,29,20,19,14,9,26,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,8,20,24,15,17,32,31,28,29,23,21,14,9,27,23,14
1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,8,3,13,9,12,20,15,26,29,26,21,14,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,1,0,0,0,0,0,3,5,8,3,13,9,13,21,16,28,30,27,22,17,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,1,0
2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,4,2,6,12,5,16,10,11,12,8,12,9,9,0,4,0,3,6,7,5,10,10,9,19,12,5,2,3,0,4,4,0,0,0,2,2,4,2,6,12,5,16,11,13,12,8,12,10,9,0,4,0,3,7,7,5,10,10,9,20,12,5,2,3,0,4,4
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,3,4,3,5,4,6,2,2,2,6,3,4,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,3,4,3,5,4,6,3,2,2,6,3,4,5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,6,3,5,3,8,11,8,15,9,5,0,0,0,0,0,0,0,1,0,0,0,0,3,4,7,5,7,9,0,0,0,0,0,2,4,4,6,3,5,3,8,11,8,16,9,5,0,0,0,0,0,0,0,1,0,0,0,0,3,4,7,5,7,9
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,3,2,1,3,2,1,2,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,3,0,3,2,1,3,2,1,2,2,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,2,0,0,0,0,0,1,1,0,2,5,1,2,5,3,2,7,3,2,0,0,0,0,0,1,2,3,3,2,7,3,12,9,6,2,5,4,4,6,0,0,0,1,1,0,2,5,1,2,5,3,2,7,3,2,0,0,0,0,0,1,2,3,3,2,9,3,12,12,6,2,6,6,4,6
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,4,9,4,7,2,8,3,0,0,0,0,0,0,3,9,15,10,10,13,16,17,10,11,12,13,0,0,0,0,0,0,0,1,2,4,7,4,9,4,7,2,8,3,0,0,0,0,0,0,3,9,15,10,10,14,16,18,10,11,12,13
13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,1,3
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4,1,0,0,1,1,0,1,0
17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,3,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,1,4,0,0,1,0,0,0,0,4,8,10,19,17,19,17,18,11,16,15,1,2,0,4,1,0,3,16,18,13,21,26,20,15,25,12,28,18,0,0,1,0,0,0,0,4,8,10,19,18,20,19,19,11,16,15,1,2,0,4,1,0,3,16,20,14,21,26,20,16,27,13,29,22
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,1
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,1,3,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,1,3,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,1,1
25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,5,4,8,10,10,11,10,11,7,10,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,5,4,9,10,10,11,11,12,9,11,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,6,7,6,3,5,8,2,8,4,6,6,8,3,8,0,1,0,0,5,3,5,3,3,6,5,2,5,5,3,4,1,3,0,0,1,6,6,7,6,3,5,8,2,8,4,6,6,8,3,8,0,1,0,0,5,3,5,3,3,6,5,2,5,5,4,4,1,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,1,1,2,4,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,2,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,3,2,0,0,1,1,1,0,3,1,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,1,2,1,2,2,0,0,0,0,1,2,1,7,1,4,1,3,7,6,8,3,7,1,5,7,3,3,2,0,1,1,0,0,2,1,2,1,2,1,2,2,0,0,0,1,1,2,1,7,1,4,1,3,7,6,8,3,7,1,5,7,3,3,2
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,5,8,4,1,7,6,9,6,2,5,3,4,8,2,0,3,3,5,6,7,8,11,10,5,3,3,4,7,4,3,5,4,2,2,2,0,5,8,4,1,7,6,9,6,2,5,3,4,9,2,0,3,3,5,6,7,8,11,10,5,3,3,4,7,4,3,5,4
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,0,4,2,0,1,0,2,0,0,0,1,1,0,0,1,3,1,2,1,0,1,1,2,1,1,0,0,0,1,0,1,1,2,2,2,2,0,4,2,0,1,0,2,0,0,0,1,1,0,0,1,3,1,2,1,0,1,1,2,1,1
37,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,9,6,9,4,3,12,13,5,2,6,3,4,4,7,0,1,3,6,3,7,4,5,5,12,5,6,2,2,2,2,1,1,0,1,2,4,9,6,10,4,3,13,14,6,4,6,3,5,4,8,0,1,3,6,3,7,6,5,6,12,5,6,2,2,2,2,1,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,2,0,0,0,0,1,1,0,0,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,0,1,0,1,1,1,0,0,0,1,2,2,3,0,1,1,3,2,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,2,0,2,0,1,1,1,0,0,1,2,2,2,3,0,1,1,3,2,2,1,0,0,0,1
46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,2,1,1,4,3,4,13,5,4,6,13,2,7,9,3,5,0,5,4,2,2,5,8,8,9,12,18,16,11,7,11,10,6,7,0,0,2,1,1,4,3,4,13,5,4,6,13,3,7,9,3,5,0,5,4,2,2,5,10,8,9,13,18,16,12,9,11,10,6,7
